"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","GPENSION","MEN","PC_PRERETEARN","A","2018",17.2,
"ZAF","GPENSION","MEN","PC_PRERETEARN","A","2020",14.9,
"ZAF","GPENSION","WOMEN","PC_PRERETEARN","A","2014",10.5,
"ZAF","GPENSION","WOMEN","PC_PRERETEARN","A","2018",17.2,
"ZAF","GPENSION","WOMEN","PC_PRERETEARN","A","2020",14.9,
"OAVG","GPENSION","MEN","PC_PRERETEARN","A","2014",52.9,
"OAVG","GPENSION","MEN","PC_PRERETEARN","A","2018",49,
"OAVG","GPENSION","MEN","PC_PRERETEARN","A","2020",51.8,
"OAVG","GPENSION","WOMEN","PC_PRERETEARN","A","2014",52.5,
"OAVG","GPENSION","WOMEN","PC_PRERETEARN","A","2018",48.2,
"OAVG","GPENSION","WOMEN","PC_PRERETEARN","A","2020",50.9,
"EU28","GPENSION","MEN","PC_PRERETEARN","A","2014",59,
"EU28","GPENSION","MEN","PC_PRERETEARN","A","2018",52,
"EU28","GPENSION","WOMEN","PC_PRERETEARN","A","2014",58.8,
"EU28","GPENSION","WOMEN","PC_PRERETEARN","A","2018",51.7,
"HRV","GPENSION","MEN","PC_PRERETEARN","A","2018",39.1,
"HRV","GPENSION","MEN","PC_PRERETEARN","A","2020",38,
"HRV","GPENSION","WOMEN","PC_PRERETEARN","A","2018",39.1,
"HRV","GPENSION","WOMEN","PC_PRERETEARN","A","2020",38,
"COL","GPENSION","MEN","PC_PRERETEARN","A","2020",74.8,
"COL","GPENSION","WOMEN","PC_PRERETEARN","A","2020",73.4,
"CRI","GPENSION","MEN","PC_PRERETEARN","A","2020",71.9,
"CRI","GPENSION","WOMEN","PC_PRERETEARN","A","2020",71.9,
"EU27","GPENSION","MEN","PC_PRERETEARN","A","2020",54.3,
"EU27","GPENSION","WOMEN","PC_PRERETEARN","A","2020",53.8,
